INFO 2025-10-05 21:47:43,163 autoreload 24960 16548 Watching for file changes with StatReloader
INFO 2025-10-06 22:52:01,814 basehttp 15924 23712 "GET /api/movies/ HTTP/1.1" 200 641
WARNING 2025-10-06 22:52:01,877 log 15924 25192 Not Found: /favicon.ico
WARNING 2025-10-06 22:52:01,878 basehttp 15924 25192 "GET /favicon.ico HTTP/1.1" 404 2589
INFO 2025-10-06 22:52:12,644 basehttp 15924 5916 "GET /admin/ HTTP/1.1" 302 0
WARNING 2025-10-06 22:52:14,537 log 15924 23712 Method Not Allowed: /api/bookings/12/cancel/
WARNING 2025-10-06 22:52:14,537 basehttp 15924 23712 "GET /api/bookings/12/cancel/ HTTP/1.1" 405 40
WARNING 2025-10-06 22:52:14,585 log 15924 25192 Not Found: /favicon.ico
WARNING 2025-10-06 22:52:14,586 basehttp 15924 25192 "GET /favicon.ico HTTP/1.1" 404 2589
INFO 2025-10-06 22:53:13,897 basehttp 15924 23712 - Broken pipe from ('127.0.0.1', 54627)
INFO 2025-10-06 22:53:49,420 basehttp 15924 20048 "GET /admin/ HTTP/1.1" 200 8834
INFO 2025-10-06 22:53:49,464 basehttp 15924 20048 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-10-06 22:53:49,467 basehttp 15924 24940 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-10-06 22:53:49,468 basehttp 15924 24928 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-10-06 22:53:49,469 basehttp 15924 20048 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-10-06 22:53:49,471 basehttp 15924 11780 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-10-06 22:53:49,473 basehttp 15924 24988 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2025-10-06 22:53:49,475 basehttp 15924 24340 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-10-06 22:53:49,485 basehttp 15924 24940 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-10-06 22:53:49,485 basehttp 15924 24928 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-10-06 22:54:03,179 basehttp 15924 20048 "GET /admin/ HTTP/1.1" 200 8834
INFO 2025-10-06 22:54:09,099 basehttp 15924 20048 "GET / HTTP/1.1" 200 1642
INFO 2025-10-06 22:54:09,154 basehttp 15924 11780 "GET /static/drf-yasg/swagger-ui-dist/swagger-ui-bundle.js HTTP/1.1" 304 0
INFO 2025-10-06 22:54:09,155 basehttp 15924 24340 "GET /static/drf-yasg/insQ.min.js HTTP/1.1" 304 0
INFO 2025-10-06 22:54:09,155 basehttp 15924 24988 "GET /static/drf-yasg/swagger-ui-dist/swagger-ui-standalone-preset.js HTTP/1.1" 304 0
INFO 2025-10-06 22:54:09,155 basehttp 15924 20048 "GET /static/drf-yasg/immutable.min.js HTTP/1.1" 304 0
INFO 2025-10-06 22:54:09,156 basehttp 15924 24928 "GET /static/drf-yasg/style.css HTTP/1.1" 200 1047
INFO 2025-10-06 22:54:09,159 basehttp 15924 11780 "GET /static/drf-yasg/swagger-ui-init.js HTTP/1.1" 304 0
INFO 2025-10-06 22:54:09,160 basehttp 15924 24940 "GET /static/drf-yasg/swagger-ui-dist/swagger-ui.css HTTP/1.1" 200 145206
INFO 2025-10-06 22:54:09,292 basehttp 15924 24940 - Broken pipe from ('127.0.0.1', 54677)
INFO 2025-10-06 22:54:09,343 basehttp 15924 24928 "GET /?format=openapi HTTP/1.1" 200 14152
WARNING 2025-10-06 22:56:40,192 log 15924 1120 Forbidden: /api/auth/signup/
WARNING 2025-10-06 22:56:40,193 basehttp 15924 1120 "POST /api/auth/signup/ HTTP/1.1" 403 45
WARNING 2025-10-06 23:06:06,305 log 15924 2884 Forbidden: /api/auth/signup/
WARNING 2025-10-06 23:06:06,306 basehttp 15924 2884 "POST /api/auth/signup/ HTTP/1.1" 403 45
INFO 2025-10-06 23:17:24,439 autoreload 15924 2060 D:\movie-ticket-booking\movies\views.py changed, reloading.
INFO 2025-10-06 23:17:25,965 autoreload 28600 27952 Watching for file changes with StatReloader
INFO 2025-10-06 23:17:53,667 basehttp 28600 29900 "GET / HTTP/1.1" 200 1642
INFO 2025-10-06 23:17:53,711 basehttp 28600 24820 "GET /static/drf-yasg/swagger-ui-dist/swagger-ui-bundle.js HTTP/1.1" 304 0
INFO 2025-10-06 23:17:53,713 basehttp 28600 24820 "GET /static/drf-yasg/swagger-ui-dist/swagger-ui-standalone-preset.js HTTP/1.1" 304 0
INFO 2025-10-06 23:17:53,876 basehttp 28600 30028 "GET /static/drf-yasg/swagger-ui-dist/swagger-ui.css HTTP/1.1" 200 145206
INFO 2025-10-06 23:17:53,878 basehttp 28600 25388 "GET /static/drf-yasg/insQ.min.js HTTP/1.1" 200 2093
INFO 2025-10-06 23:17:53,881 basehttp 28600 29900 "GET /static/drf-yasg/style.css HTTP/1.1" 200 1047
INFO 2025-10-06 23:17:53,883 basehttp 28600 23684 "GET /static/drf-yasg/immutable.min.js HTTP/1.1" 200 56904
INFO 2025-10-06 23:17:53,886 basehttp 28600 3040 "GET /static/drf-yasg/swagger-ui-init.js HTTP/1.1" 200 14964
INFO 2025-10-06 23:17:54,027 basehttp 28600 30028 "GET /?format=openapi HTTP/1.1" 200 14152
